area_sqft,bedrooms,bathrooms,floor_number,total_floors,balcony,parking,lift,security,gym,power_backup,latitude,longitude,dist_city_center_km,dist_infocity_km,dist_kiit_km,dist_airport_km,dist_khandagiri_km,dist_sum_hospital_km,dist_railway_station_km,dist_it_park_km,rent,furnishing_semi-furnished,furnishing_unfurnished,property_type_builder_floor,property_type_independent_house,property_type_studio,property_type_villa,locality_count,luxury_score,amenity_count,floor_ratio,rooms_per_sqft,parking_to_area
1103,2,2,10,11,0,1,1,1,0,0,20.37444,85.81314,8.791,1.75,2.113,14.512,12.191,8.152,12.548,2.94,27500,True,False,False,False,False,False,80,0.75,3,0.9090909090909092,0.0036264732547597,0.0009066183136899
1071,1,1,8,8,0,2,1,1,0,0,20.33469,85.78148,6.208,4.234,5.22,10.772,7.09,4.74,9.747,3.604,23500,True,False,False,False,False,False,31,0.95,4,1.0,0.0018674136321195,0.0018674136321195
1399,2,2,1,16,0,2,1,0,0,0,20.30776,85.82099,1.347,5.725,5.676,7.098,6.418,1.394,5.153,4.551,35000,True,False,False,False,True,False,42,0.7,3,0.0625,0.0028591851322373,0.0014295925661186
2803,4,4,10,10,2,2,1,1,0,0,20.29811,85.86133,3.848,8.413,7.755,7.538,9.66,5.406,4.632,7.495,40000,True,False,False,False,False,False,30,0.95,6,1.0,0.002854084909026,0.0007135212272565
1307,2,2,5,12,1,2,1,0,0,1,20.35324,85.82175,6.36,1.096,0.671,12.154,10.414,5.924,10.071,1.082,25000,False,True,True,False,False,False,80,0.7,5,0.4166666666666667,0.0030604437643458,0.0015302218821729
790,2,1,15,15,2,0,1,1,1,0,20.25904,85.77562,6.556,11.747,12.198,4.707,1.397,5.877,6.351,10.632,16500,True,False,False,False,False,False,53,0.8,5,1.0,0.0037974683544303,0.0
530,1,1,4,4,0,0,1,0,0,0,20.28732,85.79934,2.8,8.064,8.359,5.188,3.251,1.878,4.665,6.896,11500,True,False,False,False,True,False,36,0.3,1,1.0,0.0037735849056603,0.0
1296,2,2,7,7,2,2,1,0,0,0,20.34273,85.84542,5.625,3.818,2.813,11.35,10.938,5.939,8.839,3.43,30500,True,False,False,False,False,False,41,0.7,5,1.0,0.0030864197530864,0.0015432098765432
1690,3,3,13,20,3,0,1,1,0,1,20.37008,85.84725,8.561,3.788,2.688,14.352,13.417,8.607,11.884,4.333,29500,True,False,False,True,False,False,43,0.55,6,0.65,0.0035502958579881,0.0
1643,2,2,7,11,1,0,1,1,0,0,20.31076,85.85232,3.328,6.725,6.069,8.25,9.341,4.58,5.493,5.827,23500,False,True,False,True,False,False,37,0.55,3,0.6363636363636364,0.0024345709068776,0.0
1179,1,1,4,9,0,1,1,1,1,1,20.35586,85.81551,6.711,0.41,0.989,12.441,10.376,6.109,10.475,0.912,39000,True,False,False,False,False,False,104,1.0,5,0.4444444444444444,0.001696352841391,0.0008481764206955
1761,3,3,0,15,3,0,1,1,0,1,20.30637,85.82867,1.222,6.044,5.835,7.027,6.971,2.07,4.811,4.909,31500,False,True,False,False,True,False,42,0.55,6,0.0,0.0034071550255536,0.0
2240,3,3,7,18,1,1,1,1,0,1,20.27911,85.79926,3.24,8.965,9.233,4.357,2.85,2.683,4.226,7.793,30500,False,True,False,False,False,False,46,0.75,5,0.3888888888888889,0.0026785714285714,0.0004464285714285
1479,3,2,0,15,0,0,1,1,1,1,20.3523,85.84106,6.483,3.011,1.867,12.284,11.445,6.561,9.864,2.964,24000,False,True,False,False,False,False,41,0.8,4,0.0,0.0033806626098715,0.0
689,1,1,10,15,1,1,1,0,0,0,20.29955,85.82092,0.535,6.629,6.588,6.185,5.88,1.195,4.297,5.45,17500,False,True,False,False,False,False,42,0.5,3,0.6666666666666666,0.0029027576197387,0.0014513788098693
1507,2,2,2,4,0,0,1,0,1,1,20.26673,85.81168,3.529,10.228,10.314,2.607,4.047,3.839,2.59,9.038,22000,False,True,False,False,False,False,20,0.55,3,0.5,0.0026542800265428,0.0
1043,2,1,14,14,1,0,1,0,0,0,20.28215,85.81404,1.896,8.513,8.582,4.26,4.424,2.168,3.098,7.323,22500,False,False,False,False,False,False,36,0.3,2,1.0,0.0028763183125599,0.0
533,1,1,9,15,1,2,1,0,1,1,20.272,85.83229,2.8,9.848,9.675,3.461,6.164,4.018,1.013,8.687,13500,True,False,False,False,False,False,33,0.95,6,0.6,0.0037523452157598,0.0037523452157598
1020,2,1,1,14,2,1,1,1,1,1,20.28021,85.86371,4.455,10.205,9.638,6.257,9.491,6.107,3.398,9.208,19500,False,True,False,True,False,False,33,1.0,7,0.0714285714285714,0.0029411764705882,0.0009803921568627
801,1,1,14,14,1,0,1,1,0,1,20.28656,85.84229,2.137,8.583,8.233,5.378,7.401,3.778,2.618,7.483,20000,False,False,False,True,False,False,34,0.55,4,1.0,0.0024968789013732,0.0
2053,3,3,8,13,1,0,1,1,0,1,20.26898,85.78271,5.3,10.464,10.887,4.595,1.028,4.55,5.621,9.337,34000,True,False,False,False,False,False,53,0.55,4,0.6153846153846154,0.0029225523623964,0.0
1467,2,2,5,18,0,1,1,1,0,0,20.28203,85.81104,2.102,8.528,8.64,4.287,4.12,2.137,3.331,7.338,24500,False,True,True,False,False,False,63,0.75,3,0.2777777777777778,0.0027266530334014,0.0006816632583503
1778,3,2,7,18,3,1,1,0,0,0,20.35445,85.81294,6.599,0.473,1.294,12.292,10.122,5.931,10.381,0.717,33500,False,True,True,False,False,False,104,0.5,5,0.3888888888888889,0.0028121484814398,0.0005624296962879
1398,2,2,11,16,2,2,1,1,0,0,20.29636,85.82725,0.288,7.089,6.938,5.905,6.284,1.918,3.752,5.931,34000,True,False,False,False,False,False,68,0.95,6,0.6875,0.0028612303290414,0.0014306151645207
611,1,1,5,9,0,2,1,1,0,0,20.35719,85.82288,6.795,1.044,0.238,12.597,10.855,6.378,10.489,1.451,21500,True,False,False,False,False,False,104,0.95,4,0.5555555555555556,0.0032733224222585,0.0032733224222585
1327,2,2,0,20,0,1,1,1,0,0,20.31612,85.84099,2.813,5.562,5.037,8.376,8.644,3.67,5.849,4.592,27500,False,True,False,False,False,False,68,0.75,3,0.0,0.0030143180105501,0.0007535795026375
1295,3,2,0,12,3,1,1,0,0,1,20.36548,85.84707,8.066,3.631,2.471,13.849,12.991,8.146,11.373,4.049,21500,False,True,False,False,False,False,43,0.5,6,0.0,0.0038610038610038,0.0007722007722007
630,1,1,2,4,0,0,1,0,0,0,20.35268,85.81956,6.312,0.957,0.845,12.086,10.25,5.818,10.047,0.859,19500,False,False,True,False,False,False,104,0.3,1,0.5,0.0031746031746031,0.0
1305,2,2,7,19,1,1,1,1,1,1,20.2758,85.79371,3.925,9.435,9.761,4.338,2.195,3.275,4.642,8.276,25500,False,True,False,False,False,True,46,1.0,6,0.3684210526315789,0.0030651340996168,0.0007662835249042
919,1,1,3,9,0,1,1,0,0,0,20.27862,85.81592,2.14,8.91,8.949,3.855,4.528,2.596,2.697,7.721,14000,False,True,False,True,False,False,46,0.5,2,0.3333333333333333,0.0021762785636561,0.001088139281828
1409,2,2,15,15,0,0,1,1,1,0,20.35496,85.82763,6.553,1.581,0.529,12.381,10.888,6.266,10.188,1.71,34500,False,True,False,False,False,False,91,0.8,3,1.0,0.0028388928317956,0.0
2207,3,3,6,16,0,2,1,1,0,0,20.32579,85.82091,3.323,3.751,3.679,9.1,7.832,2.978,7.088,2.604,37000,False,True,False,False,False,False,29,0.95,4,0.375,0.0027186225645672,0.0009062075215224
1834,3,3,9,17,0,1,1,1,0,1,20.3446,85.82739,5.401,2.17,1.597,11.231,9.909,5.17,9.044,1.547,41000,True,False,False,True,False,False,91,0.75,4,0.5294117647058824,0.0032715376226826,0.0005452562704471
1449,2,2,10,11,0,0,1,0,0,1,20.32767,85.79105,4.949,4.14,4.906,9.713,6.528,3.522,8.536,3.217,31500,True,False,False,False,False,False,43,0.3,2,0.9090909090909092,0.0027605244996549,0.0
1803,3,2,15,19,3,1,1,1,0,1,20.37125,85.82547,8.357,1.907,1.399,14.172,12.368,7.963,12.012,2.894,32500,True,False,False,False,False,False,35,0.75,7,0.7894736842105263,0.0027731558513588,0.0005546311702717
1730,2,2,3,8,1,1,1,1,0,0,20.29524,85.80902,1.617,7.069,7.239,5.771,4.581,0.665,4.516,5.881,33500,False,True,False,True,False,False,63,0.75,4,0.375,0.0023121387283236,0.0005780346820809
1378,2,2,3,15,2,0,1,1,1,1,20.30633,85.79364,3.413,6.163,6.653,7.375,4.431,1.759,6.501,5.054,29000,True,False,False,True,False,False,43,0.8,6,0.2,0.0029027576197387,0.0
1486,2,2,1,9,1,2,1,1,1,0,20.36234,85.8391,7.521,2.751,1.575,13.345,12.226,7.462,10.972,3.154,26000,False,True,False,False,False,False,43,1.2000000000000002,6,0.1111111111111111,0.0026917900403768,0.0013458950201884
912,2,1,13,13,0,0,1,0,0,1,20.31283,85.82678,1.875,5.299,5.106,7.711,7.242,2.21,5.553,4.166,17500,False,True,False,False,False,False,43,0.3,2,1.0,0.0032894736842105,0.0
872,1,1,15,15,1,2,1,0,0,1,20.26602,85.85634,4.713,11.253,10.827,4.707,8.693,6.25,2.106,10.175,15000,False,True,False,False,False,False,47,0.7,5,1.0,0.0022935779816513,0.0022935779816513
1955,3,2,8,8,2,2,1,1,0,1,20.33009,85.83795,4.031,4.109,3.477,9.801,9.391,4.366,7.384,3.276,37000,True,False,False,False,False,False,37,0.95,7,1.0,0.0025575447570332,0.0010230179028132
1412,2,2,12,17,1,0,1,1,1,1,20.27107,85.80358,3.537,9.793,9.985,3.356,3.169,3.409,3.51,8.61,24000,False,True,False,False,True,False,46,0.8,5,0.7058823529411765,0.0028328611898017,0.0
2396,3,3,12,15,1,1,1,1,0,1,20.36171,85.8312,7.329,1.927,0.775,13.163,11.723,7.095,10.911,2.434,52000,False,True,False,False,True,False,91,0.75,5,0.8,0.0025041736227045,0.0004173622704507
1464,3,2,4,16,1,0,1,1,0,1,20.34667,85.82392,5.623,1.757,1.339,11.434,9.901,5.272,9.316,1.148,39500,False,False,False,False,False,False,104,0.55,4,0.25,0.003415300546448,0.0
1947,3,3,12,13,3,2,1,1,0,0,20.28597,85.79064,3.707,8.417,8.824,5.459,2.436,2.603,5.368,7.281,31000,False,True,False,False,False,False,36,0.95,7,0.9230769230769232,0.0030816640986132,0.0010272213662044
846,1,1,3,17,0,2,1,1,0,1,20.31556,85.7924,3.986,5.256,5.849,8.387,5.303,2.401,7.363,4.198,21500,False,True,False,False,False,False,43,0.95,5,0.1764705882352941,0.0023640661938534,0.0023640661938534
1071,2,1,13,13,0,0,1,0,0,0,20.2992,85.80846,1.708,6.633,6.824,6.215,4.804,0.252,4.9,5.447,28000,False,False,False,False,False,False,63,0.3,1,1.0,0.0028011204481792,0.0
1022,2,2,8,8,1,1,1,1,0,1,20.30741,85.82186,1.287,5.778,5.71,7.064,6.464,1.453,5.088,4.607,23000,False,True,False,True,False,False,68,0.75,5,1.0,0.0039138943248532,0.0009784735812133
1379,2,2,14,14,0,1,1,1,0,1,20.36783,85.84194,8.181,3.183,2.082,13.998,12.898,8.14,11.594,3.737,21500,False,True,True,False,False,False,43,0.75,4,1.0,0.0029006526468455,0.0007251631617113
834,1,1,12,12,0,2,1,0,0,1,20.25927,85.81442,4.228,11.057,11.106,1.734,4.506,4.689,2.335,9.867,16000,True,False,True,False,False,False,20,0.7,4,1.0,0.0023980815347721,0.0023980815347721
1586,3,2,11,11,1,2,1,0,0,0,20.29483,85.84513,2.156,7.853,7.421,6.33,7.942,3.773,3.582,6.796,27500,True,False,False,False,False,False,34,0.7,4,1.0,0.0031525851197982,0.0012610340479192
1277,2,2,11,11,0,1,1,0,1,1,20.29114,85.83137,0.904,7.753,7.546,5.429,6.452,2.531,3.094,6.606,34000,True,False,False,False,False,False,68,0.75,4,1.0,0.0031323414252153,0.0007830853563038
1286,3,2,8,18,2,2,1,1,1,0,20.27678,85.84876,3.319,9.843,9.454,4.87,7.904,4.905,1.951,8.753,30500,False,False,False,False,False,True,47,1.2000000000000002,7,0.4444444444444444,0.0038880248833592,0.0015552099533437
2721,4,4,12,20,2,0,1,0,0,1,20.36665,85.82703,7.849,1.709,0.923,13.672,11.987,7.501,11.488,2.538,45500,False,True,True,False,False,False,104,0.3,4,0.6,0.0029400955531054,0.0
1697,3,2,3,10,3,0,1,1,0,0,20.38224,85.83828,9.685,3.714,2.986,15.519,14.069,9.494,13.183,4.63,30000,False,False,False,False,False,False,35,0.55,5,0.3,0.0029463759575721,0.0
1468,2,2,9,16,0,0,1,1,1,0,20.27772,85.78037,5.036,9.626,10.112,5.413,1.026,4.014,6.039,8.523,25500,False,True,False,False,False,False,36,0.8,3,0.5625,0.0027247956403269,0.0
753,1,1,11,20,1,2,1,1,0,1,20.32757,85.78911,5.086,4.264,5.059,9.762,6.462,3.628,8.641,3.371,16000,False,True,False,True,False,False,31,0.95,6,0.55,0.0026560424966799,0.0026560424966799
2771,4,4,1,14,1,1,1,1,1,1,20.36349,85.83753,7.616,2.612,1.459,13.445,12.242,7.514,11.097,3.083,42000,False,True,False,False,False,False,43,1.0,6,0.0714285714285714,0.0028870443883074,0.0003608805485384
2193,4,4,1,15,2,0,1,1,1,0,20.2677,85.80662,3.667,10.141,10.289,2.882,3.51,3.738,3.128,8.954,40000,False,False,False,False,True,False,46,0.8,5,0.0666666666666666,0.0036479708162334,0.0
1154,2,1,1,13,0,0,1,0,0,0,20.35674,85.83569,6.843,2.375,1.187,12.674,11.511,6.748,10.346,2.557,16000,False,True,True,False,False,False,43,0.3,1,0.0769230769230769,0.0025996533795493,0.0
1028,1,1,0,11,0,0,1,0,0,0,20.29487,85.84185,1.815,7.709,7.325,6.188,7.621,3.436,3.514,6.63,28500,False,False,False,False,False,False,68,0.3,1,0.0,0.0019455252918287,0.0
949,2,1,10,10,0,1,1,0,0,1,20.35314,85.81799,6.379,0.808,0.918,12.136,10.219,5.841,10.127,0.773,26500,True,False,False,False,False,False,104,0.5,3,1.0,0.0031612223393045,0.0010537407797681
1503,2,2,3,17,2,0,1,1,0,0,20.3229,85.79055,4.628,4.618,5.327,9.222,6.006,3.125,8.13,3.643,33500,False,True,False,False,True,False,43,0.55,4,0.1764705882352941,0.0026613439787092,0.0
998,2,2,13,13,1,2,1,0,1,1,20.37306,85.81434,8.623,1.603,1.916,14.355,12.091,8.006,12.374,2.79,35500,False,True,False,False,False,True,91,0.95,6,1.0,0.0040080160320641,0.002004008016032
712,1,1,10,15,1,1,1,0,0,0,20.36979,85.8411,8.375,3.178,2.125,14.197,13.032,8.304,11.807,3.802,18500,True,False,False,False,False,False,43,0.5,3,0.6666666666666666,0.0028089887640449,0.0014044943820224
1789,3,2,10,17,3,1,1,1,0,1,20.31304,85.81848,1.986,5.109,5.116,7.677,6.614,1.61,5.793,3.929,32000,False,True,False,True,False,False,43,0.75,7,0.5882352941176471,0.0027948574622694,0.0005589714924538
1891,3,2,2,5,0,0,1,1,0,0,20.30907,85.84063,2.216,6.225,5.769,7.617,8.186,3.352,5.065,5.2,28500,True,False,False,False,False,False,30,0.55,2,0.4,0.002644103648863,0.0
1325,2,2,3,16,1,2,1,0,0,1,20.37783,85.83089,9.112,2.829,2.229,14.944,13.276,8.805,12.703,3.805,28000,True,False,False,False,True,False,35,0.7,5,0.1875,0.0030188679245283,0.0015094339622641
631,2,1,4,18,0,0,1,0,0,0,20.28528,85.8012,2.712,8.256,8.518,4.906,3.303,1.975,4.377,7.082,15000,True,False,False,False,False,False,63,0.3,1,0.2222222222222222,0.0047543581616481,0.0
2090,3,3,0,11,0,0,1,1,0,0,20.37474,85.79587,9.24,2.524,3.477,14.716,11.732,8.302,13.047,3.468,34000,True,False,False,False,False,False,39,0.55,2,0.0,0.0028708133971291,0.0
912,2,2,2,7,2,2,1,0,0,1,20.27481,85.86194,4.566,10.633,10.112,5.739,9.264,6.198,2.946,9.606,18500,False,True,False,False,True,False,33,0.7,6,0.2857142857142857,0.0043859649122807,0.0021929824561403
1343,2,2,10,10,0,0,1,0,0,1,20.30665,85.80541,2.311,5.842,6.12,7.085,5.162,0.747,5.761,4.666,33500,True,False,False,False,False,False,63,0.3,2,1.0,0.0029784065524944,0.0
1129,2,2,6,19,0,1,1,1,0,1,20.25758,85.78718,5.788,11.562,11.899,3.533,2.119,5.385,5.169,10.409,18000,False,True,False,False,False,False,53,0.75,4,0.3157894736842105,0.0035429583702391,0.0008857395925597
1388,2,2,1,3,0,1,1,1,0,0,20.3707,85.82503,8.295,1.831,1.335,14.109,12.293,7.894,11.956,2.819,42500,True,False,False,False,True,False,91,0.75,3,0.3333333333333333,0.0028818443804034,0.0007204610951008
882,2,1,12,20,2,0,1,1,1,0,20.27604,85.84438,3.045,9.756,9.422,4.514,7.442,4.581,1.61,8.645,19500,False,False,False,False,False,False,47,0.8,5,0.6,0.0034013605442176,0.0
1030,2,1,10,16,2,1,1,0,0,1,20.32561,85.78568,5.211,4.653,5.47,9.673,6.167,3.686,8.675,3.783,24500,True,False,False,True,False,False,43,0.5,5,0.625,0.0029126213592233,0.0009708737864077
2816,4,4,11,11,3,0,1,0,0,1,20.34646,85.81874,5.632,1.487,1.488,11.393,9.603,5.122,9.383,0.622,59500,True,False,False,False,False,False,80,0.3,5,1.0,0.002840909090909,0.0
736,1,1,2,19,0,2,1,1,0,0,20.34301,85.84892,5.805,4.131,3.086,11.478,11.214,6.199,8.917,3.786,23000,False,False,False,False,False,False,41,0.95,4,0.1052631578947368,0.0027173913043478,0.0027173913043478
520,1,1,5,7,0,0,1,1,0,1,20.31743,85.83029,2.447,4.93,4.629,8.268,7.852,2.813,6.007,3.848,15500,True,False,False,False,True,False,68,0.55,3,0.7142857142857143,0.0038461538461538,0.0
2219,3,3,10,13,1,1,1,1,0,0,20.35074,85.8494,6.607,3.897,2.743,12.318,11.873,6.897,9.774,3.807,41000,True,False,False,False,False,False,43,0.75,4,0.7692307692307693,0.0027039206849932,0.0004506534474988
546,1,1,14,14,0,1,1,0,0,1,20.30047,85.79193,3.431,6.837,7.311,6.834,3.777,1.845,6.175,5.724,13000,False,True,True,False,False,False,63,0.5,3,1.0,0.0036630036630036,0.0018315018315018
965,2,2,1,17,2,2,1,0,0,1,20.25465,85.7768,6.782,12.17,12.594,4.438,1.9,6.205,6.288,11.045,20000,True,False,False,False,False,False,53,0.7,6,0.0588235294117647,0.0041450777202072,0.0020725388601036
1325,3,2,2,19,1,0,1,1,0,0,20.36387,85.81152,7.656,0.595,1.47,13.345,11.031,6.971,11.434,1.771,31000,True,False,False,False,False,False,104,0.55,3,0.1052631578947368,0.0037735849056603,0.0
1788,3,2,13,13,0,2,1,0,0,1,20.29156,85.80595,1.999,7.502,7.712,5.431,4.086,1.138,4.429,6.319,32000,False,True,False,False,False,False,63,0.7,4,1.0,0.0027964205816554,0.0011185682326621
2091,3,3,4,13,0,2,1,1,0,1,20.29387,85.82269,0.312,7.279,7.211,5.569,5.735,1.59,3.643,6.103,47000,False,False,False,True,False,False,68,0.95,5,0.3076923076923077,0.0028694404591104,0.0009564801530368
1391,3,2,9,20,3,2,1,0,0,1,20.34846,85.82428,5.822,1.637,1.139,11.635,10.089,5.473,9.508,1.177,36000,False,False,True,False,False,False,104,0.7,7,0.45,0.0035945363048166,0.0014378145219266
631,1,1,5,9,1,1,1,0,1,0,20.26811,85.84803,3.964,10.715,10.368,4.139,7.814,5.441,1.318,9.605,15000,False,False,False,False,False,False,47,0.75,4,0.5555555555555556,0.0031695721077654,0.0015847860538827
1361,2,2,1,13,2,0,1,0,0,0,20.26966,85.83253,3.057,10.108,9.936,3.241,6.192,4.245,0.771,8.946,19000,False,True,False,False,False,False,47,0.3,3,0.0769230769230769,0.002939015429831,0.0
609,1,1,7,17,1,2,1,0,0,1,20.36472,85.84828,8.023,3.738,2.568,13.795,12.999,8.133,11.302,4.121,14000,False,True,True,False,False,False,41,0.7,5,0.4117647058823529,0.0032840722495894,0.0032840722495894
806,1,1,14,17,1,1,1,0,0,0,20.33271,85.81681,4.149,2.917,2.999,9.865,8.195,3.584,7.938,1.746,20500,True,False,False,False,False,False,29,0.5,3,0.8235294117647058,0.0024813895781637,0.0012406947890818
664,1,1,11,20,0,2,1,1,1,0,20.33023,85.78682,5.463,4.18,5.045,10.118,6.694,4.008,9.02,3.37,18000,False,False,True,False,False,False,31,1.2000000000000002,5,0.55,0.003012048192771,0.003012048192771
1011,3,2,13,13,1,1,1,1,1,0,20.28689,85.81361,1.529,7.985,8.065,4.789,4.553,1.645,3.5,6.795,36000,False,False,False,False,False,True,68,1.0,5,1.0,0.0049455984174085,0.0009891196834817
